title,published_year,technique,subcategory,category,publishers
"

 Arriving at an anti-forensics consensus: Examining how to define and control the anti-forensics problem

",2006,Archive,Hidden directories,DH,Elsevier
"

 Arriving at an anti-forensics consensus: Examining how to define and control the anti-forensics problem

",2006,Data encapsulation,Encryption,DH,Elsevier
"

 Arriving at an anti-forensics consensus: Examining how to define and control the anti-forensics problem

",2006,Disabling logs,Log wiping,AW,Elsevier
"

 Arriving at an anti-forensics consensus: Examining how to define and control the anti-forensics problem

",2006,MACE alterations,Log manipulation,TO,Elsevier
"

 Arriving at an anti-forensics consensus: Examining how to define and control the anti-forensics problem

",2006,Removing,Targeted artifact removal,AW,Elsevier
"

 Arriving at an anti-forensics consensus: Examining how to define and control the anti-forensics problem

",2006,image bombs,Data misdirection/misinformation/framing,TO,Elsevier
"

 Arriving at an anti-forensics consensus: Examining how to define and control the anti-forensics problem

",2006,wiping files,File wiping,AW,Elsevier
"

 Deleting collected digital evidence by exploiting a widely adopted hardware write blocker

",2016,Data corruption,Generic data wiping,AW,Elsevier
"

 Deleting collected digital evidence by exploiting a widely adopted hardware write blocker

",2016,Firmware modification,Forensic software integrity attacks,AT,Elsevier
"

 Deleting collected digital evidence by exploiting a widely adopted hardware write blocker

",2016,Integrity attack,Forensic software integrity attacks,AT,Elsevier
"

 Deleting collected digital evidence by exploiting a widely adopted hardware write blocker

",2016,Root access,Presence of anti-forensics tools/files/installation files,PIA,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Anti-reverse engineering,Anti-reverse engineering,AT,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Artifact wiping,File wiping,AW,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Attacks against forensic tools and processes,Forensic software integrity attacks,AT,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Attacks against investigator integrity,Investigator integrity attacks,AT,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Data contraception,Direct kernel object manipulation (DKOM),DH,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Encryption,Encryption,DH,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Filesystem manipulation,Filesystem manipulation,DH,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Hard disk manipulation,Hard disk manipulation,DH,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Memory hiding,Memory hiding,DH,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Network-based data hiding,Network-based data hiding,DH,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Program packers,Program packers,AT,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Proxy server,Proxy server,TO,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Steganography,Steganography,DH,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,Trail obfuscation,Data obscurity,TO,Elsevier
"

 Anti-forensics: Furthering digital forensic science through a new extended, granular taxonomy

",2016,VPN tunneling,VPN tunneling,DH,Elsevier
"

 An improved median √î¬®√Öltering anti-forensics with better image quality and forensic undetectability

",2019,MMedian filtering anti-forensics,Data fabrication,TO,springer
"

 An improved median √î¬®√Öltering anti-forensics with better image quality and forensic undetectability

",2019,TV-based minimization,Data fabrication,TO,springer
"

 An improved median √î¬®√Öltering anti-forensics with better image quality and forensic undetectability

",2019,Variational deconvolution,Data fabrication,TO,springer
"

 Anti-forensics of JPEG Compression Using Generative Adversarial Networks

",2018,Blocking artifacts disguise,Data fabrication,TO,IEEE
"

 Anti-forensics of JPEG Compression Using Generative Adversarial Networks

",2018,JPEG compression anti-forensic method,Data fabrication,TO,IEEE
"

 Anti-forensics of JPEG Compression Using Generative Adversarial Networks

",2018,Noise dither introduction,Data fabrication,TO,IEEE
"

 Anti-forensics of JPEG Compression Using Generative Adversarial Networks

",2018,Quantization artifacts disguise,Data fabrication,TO,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,API relocation,Anti-reverse engineering,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Anti-debugging,Anti-reverse engineering,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Anti-dump,Anti-reverse engineering,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Anti-trace,Anti-reverse engineering,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Code encryption,Program packers,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Code virtualization,Program packers,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,File integrity checking,Forensic software integrity attacks,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Hardware breakpoint detection,Anti-reverse engineering,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Integrity checking,Forensic software integrity attacks,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Obfuscated API function calls,Anti-reverse engineering,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Self-modifying code,Anti-reverse engineering,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Software breakpoint detection,Anti-reverse engineering,AT,IEEE
"

 UnSafengine64: A Safengine Unpacker for 64-Bit Windows Environments and Detailed Analysis Results on Safengine 2.4.0

",2024,Virtual machine detection,Anti-reverse engineering,AT,IEEE
"

 On the Feasibility of Android Stegomalware: A Detection Study

",2025,Code injection,Remote library injection,DH,University Repository
"

 On the Feasibility of Android Stegomalware: A Detection Study

",2025,Information-hiding,Steganography,DH,University Repository
"

 On the Feasibility of Android Stegomalware: A Detection Study

",2025,LSB steganography,Images steganography,DH,University Repository
"

 On the Feasibility of Android Stegomalware: A Detection Study

",2025,Obfuscation,Data obscurity,TO,University Repository
"

 On the Feasibility of Android Stegomalware: A Detection Study

",2025,Repackaging,Program packers,AT,University Repository
"

 Anti-Forensics with Steganographic File Embedding in Digital Image Using Genetic Algorithm

",2022,Genetic algorithm optimization,Images steganography,DH,
"

 Anti-Forensics with Steganographic File Embedding in Digital Image Using Genetic Algorithm

",2022,Hilbert curve,Steganography,DH,
"

 Anti-Forensics with Steganographic File Embedding in Digital Image Using Genetic Algorithm

",2022,Least significant bit embedding,Images steganography,DH,
"

 Anti-Forensics with Steganographic File Embedding in Digital Image Using Genetic Algorithm

",2022,Lempel Ziv Markov chain compression,File steganography,DH,
"

 Anti-Forensics with Steganographic File Embedding in Digital Image Using Genetic Algorithm

",2022,Steganographic file embedding,File steganography,DH,
"

 Detection of Suspicious Timestamps in NTFS using Volume Shadow Copies

",2021,Timestamp manipulation,Log manipulation,TO,MECS
"

 Detection of Suspicious Timestamps in NTFS using Volume Shadow Copies

",2021,Timestomping,Log manipulation,TO,MECS
"

 A forensic analysis of streaming platforms on Android OS

",2023,Cache clearing,Metadata wiping,AW,Elsevier
"

 Steganography and Computer Forensics - the art of hiding information: a systematic review

",2022,File creation techniques,Filesystem manipulation,DH,ARIS
"

 Steganography and Computer Forensics - the art of hiding information: a systematic review

",2022,Injection techniques,Remote library injection,DH,ARIS
"

 Steganography and Computer Forensics - the art of hiding information: a systematic review

",2022,Steganography,Steganography,DH,ARIS
"

 Steganography and Computer Forensics - the art of hiding information: a systematic review

",2022,Substitution techniques,Steganography,DH,ARIS
"

 Taxonomy for Anti-Forensics Techniques & Countermeasures

",2020,Data wiping,Generic data wiping,AW,University Repository
"

 Taxonomy for Anti-Forensics Techniques & Countermeasures

",2020,Encryption,Encryption,DH,University Repository
"

 Taxonomy for Anti-Forensics Techniques & Countermeasures

",2020,File header manipulation,Filesystem manipulation,DH,University Repository
"

 Taxonomy for Anti-Forensics Techniques & Countermeasures

",2020,Hash collision,Hash value integrity attacks,AT,University Repository
"

 Taxonomy for Anti-Forensics Techniques & Countermeasures

",2020,Hiding data in system areas,Hidden partition utilization,DH,University Repository
"

 Taxonomy for Anti-Forensics Techniques & Countermeasures

",2020,Log deletion or modification,Log wiping,AW,University Repository
"

 Taxonomy for Anti-Forensics Techniques & Countermeasures

",2020,Physical destruction,Disk degaussing / destruction techniques,AW,University Repository
"

 Taxonomy for Anti-Forensics Techniques & Countermeasures

",2020,Program packers,Program packers,AT,University Repository
"

 Taxonomy for Anti-Forensics Techniques & Countermeasures

",2020,Steganography,Steganography,DH,University Repository
"

 Taxonomy for Anti-Forensics Techniques & Countermeasures

",2020,Timestamp modification,Log manipulation,TO,University Repository
"

 Analysis of Steganographic on Digital Evidence using General Computer Forensic Investigation Model Framework

",2020,Steganography,Steganography,DH,IJACSA
"

 Data Sanitization Framework for Computer Hard Disk Drive: A Case Study in Malaysia

",2019,Data sanitization,Generic data wiping,AW,IJACSA
"

 Data Sanitization Framework for Computer Hard Disk Drive: A Case Study in Malaysia

",2019,Data wiping,Generic data wiping,AW,IJACSA
"

 Data Sanitization Framework for Computer Hard Disk Drive: A Case Study in Malaysia

",2019,Overwrite technique,File wiping,AW,IJACSA
"

 SafePaint: Anti-forensic Image Inpainting with Domain Adaptation

",2024,Anti-forensic image inpainting (SafePaint framework),Domain-Adapted Anti-Forensic Inpainting,AAF,ACM
"

 SafePaint: Anti-forensic Image Inpainting with Domain Adaptation

",2024,Domain adaptation for anti-forensics,Domain-Adapted Anti-Forensic Inpainting,AAF,ACM
"

 SafePaint: Anti-forensic Image Inpainting with Domain Adaptation

",2024,Region-wise optimization (RWSA module),Domain-Adapted Anti-Forensic Inpainting,AAF,ACM
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Anti-debugging (ptrace-based),Anti-reverse engineering,AT,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Anti-sandbox detection,Anti-reverse engineering,AT,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Binary packing (UPX,Program packers,AT,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Debug symbol removal (stripped binaries),Anti-reverse engineering,AT,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,File deletion (unlink,File wiping,AW,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Firewall manipulation (iptables),Data obscurity,TO,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Log,Log wiping,AW,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Persistence via cron jobs,Presence of anti-forensics tools/files/installation files,PIA,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Persistence via init.d scripts,Presence of anti-forensics tools/files/installation files,PIA,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Process injection,Remote library injection,DH,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Process renaming (PR_SET_NAME),Data obscurity,TO,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,Static linking,Anti-reverse engineering,AT,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,String encoding (obfuscation),Anti-reverse engineering,AT,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,config,Presence of anti-forensics tools/files/installation files,PIA,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,custom packers),Program packers,AT,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,history removal,Metadata wiping,AW,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,rm,File wiping,AW,IEEE
"

 An Automated and Comprehensive Framework for IoT Botnet Detection and Analysis (IoT-BDA)

",2021,rmdir),File wiping,AW,IEEE
"

 Identification of true speakers from disguised voices in anti-forensic scenarios using an efficient framework

",2024,Electronic voice alteration,Data obscurity,TO,springer
"

 Identification of true speakers from disguised voices in anti-forensic scenarios using an efficient framework

",2024,Non-electronic voice alteration,Data fabrication,TO,springer
"

 Identification of true speakers from disguised voices in anti-forensic scenarios using an efficient framework

",2024,Voice disguise,Data fabrication,TO,springer
"

 Anti-forensics of fake stereo audio using generative adversarial network

",2022,Fake stereo audio generation using GAN,GAN-Based Fake Stereo Audio Synthesis,AAF,springer
"

 A SMART Goal-based Framework for Privacy Preserving Embedded Forensic Investigations

",2019,Access control,Encryption,DH,IEEE
"

 A SMART Goal-based Framework for Privacy Preserving Embedded Forensic Investigations

",2019,Cryptography,Encryption,DH,IEEE
"

 A SMART Goal-based Framework for Privacy Preserving Embedded Forensic Investigations

",2019,Data erasure,Generic data wiping,AW,IEEE
"

 A SMART Goal-based Framework for Privacy Preserving Embedded Forensic Investigations

",2019,Encryption,Encryption,DH,IEEE
"

 A SMART Goal-based Framework for Privacy Preserving Embedded Forensic Investigations

",2019,Steganography,Steganography,DH,IEEE
"

 A Framework for Detecting Anti-forensics in Cloud Environment

",2016,Covert channel communication,Network-based data hiding,DH,IEEE
"

 A Framework for Detecting Anti-forensics in Cloud Environment

",2016,Data overwriting,Generic data wiping,AW,IEEE
"

 A Framework for Detecting Anti-forensics in Cloud Environment

",2016,Evidence destruction,Generic data wiping,AW,IEEE
"

 A Framework for Detecting Anti-forensics in Cloud Environment

",2016,Header editing,Metadata manipulation,AW,IEEE
"

 A Framework for Detecting Anti-forensics in Cloud Environment

",2016,Log deletion,Log wiping,AW,IEEE
"

 A Framework for Detecting Anti-forensics in Cloud Environment

",2016,Log modification,Log manipulation,TO,IEEE
"

 A Framework for Detecting Anti-forensics in Cloud Environment

",2016,Secure data deletion,File wiping,AW,IEEE
"

 A Framework for Detecting Anti-forensics in Cloud Environment

",2016,Side-channel attack,Forensic software integrity attacks,AT,IEEE
"

 A Framework for Detecting Anti-forensics in Cloud Environment

",2016,Timestamp scrambling,Log manipulation,TO,IEEE
"

 Anti-Forensics of Digital Image Compression

",2011,Blocking artifact removal (anti-forensic deblocking),Data fabrication,TO,IEEE
"

 Anti-Forensics of Digital Image Compression

",2011,DCT coefficient quantization fingerprint removal (JPEG anti-forensics),Data obscurity,TO,IEEE
"

 Anti-Forensics of Digital Image Compression

",2011,DWT coefficient quantization fingerprint removal (Wavelet,Data obscurity,TO,IEEE
"

 Anti-Forensics of Digital Image Compression

",2011,JPEG2000 anti-forensics),Data obscurity,TO,IEEE
"

 Anti-Forensics of Digital Image Compression

",2011,SPIHT,Memory hiding,DH,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Customization of OS memory handling functions,Alerts to forensic tool usage,AT,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Detection of CFTs,Forensic software integrity attacks,AT,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Exploitation of CFTs,Data fabrication,TO,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Fabrication,Steganography,DH,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Hiding,Generic data wiping,AW,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Logical destruction,Disk degaussing / destruction techniques,AW,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Physical destruction,Data misdirection/misinformation/framing,TO,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Pollution,Data fabrication,TO,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Saturation,File wiping,AW,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Source elimination,Hidden partition utilization,DH,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Storage,Data fabrication,TO,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Transformation,P2P networking,TO,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Using external machines,Presence of anti-forensics tools/files/installation files,PIA,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Using own machines,Virtualization,PIA,IEEE
"

 Counterfeiting and Defending the Digital Forensic Process

",2015,Virtualization,Data misdirection/misinformation/framing,TO,IEEE
"

 Anti-Forensics of Audio Source Identification Using Generative Adversarial Network

",2019,"Confusing attack 
   Misleading attack",Data fabrication,TO,IEEE
"

 Digital Image Forensic Approach to Counter the JPEG Anti-Forensic Attacks

",2021,Deblocking operation,Data fabrication,TO,IEEE
"

 Digital Image Forensic Approach to Counter the JPEG Anti-Forensic Attacks

",2021,Dithering operation,Data fabrication,TO,IEEE
"

 Digital Image Forensic Approach to Counter the JPEG Anti-Forensic Attacks

",2021,Histogram smoothing,Data obscurity,TO,IEEE
"

 Digital Image Forensic Approach to Counter the JPEG Anti-Forensic Attacks

",2021,JPEG compression anti-forensic techniques,Data obscurity,TO,IEEE
"

 SYNTHESIZING BLACK-BOX ANTI-FORENSICS DEEPFAKES WITH HIGH VISUAL QUALITY

",2024,Adversarial noise injection,Black-Box Adversarial Deepfake Detector Evasion,AAF,IEEE
"

 SYNTHESIZING BLACK-BOX ANTI-FORENSICS DEEPFAKES WITH HIGH VISUAL QUALITY

",2024,Adversarial sharpening masks,Black-Box Adversarial Deepfake Detector Evasion,AAF,IEEE
"

 Exploring Firmware‚Based Anti forensics in IoT Devices: Techniques and Implications

",2024,Covert communication channels,Network-based data hiding,DH,springer
"

 Exploring Firmware‚Based Anti forensics in IoT Devices: Techniques and Implications

",2024,Firmware rollback,Forensic software integrity attacks,DH,springer
"

 Exploring Firmware‚Based Anti forensics in IoT Devices: Techniques and Implications

",2024,Rootkit injection,Direct kernel object manipulation (DKOM),DH,springer
"

 Exploring Firmware‚Based Anti forensics in IoT Devices: Techniques and Implications

",2024,Secure boot bypass,Forensic software integrity attacks,AT,springer
"

 Exploring Firmware‚Based Anti forensics in IoT Devices: Techniques and Implications

",2024,System call attacks,Forensic software integrity attacks,AT,springer
"

 Making Generated Images Hard To Spot: A Transferable Attack On Synthetic Image Detectors

",2022,Adversarial example attacks,Transferable Synthetic-Image Detector Evasion via Trace Removal,AAF,springer
"

 Making Generated Images Hard To Spot: A Transferable Attack On Synthetic Image Detectors

",2022,Adversarially trained generator,Transferable Synthetic-Image Detector Evasion via Trace Removal,AAF,springer
"

 Making Generated Images Hard To Spot: A Transferable Attack On Synthetic Image Detectors

",2022,Falsifying forensic traces,Transferable Synthetic-Image Detector Evasion via Trace Removal,AAF,springer
"

 Making Generated Images Hard To Spot: A Transferable Attack On Synthetic Image Detectors

",2022,GAN-based attacks,Transferable Synthetic-Image Detector Evasion via Trace Removal,AAF,springer
"

 Making Generated Images Hard To Spot: A Transferable Attack On Synthetic Image Detectors

",2022,Removing forensic traces,Transferable Synthetic-Image Detector Evasion via Trace Removal,AAF,springer
"

 Making Generated Images Hard To Spot: A Transferable Attack On Synthetic Image Detectors

",2022,Synthesizing forensic traces,Transferable Synthetic-Image Detector Evasion via Trace Removal,AAF,springer
"

 Making DeepFakes more spurious: evading deep face forgery detection via trace removal attack

",2022,Noise fingerprint removal,Noise fingerprint removal,AAF,IEEE
"

 Making DeepFakes more spurious: evading deep face forgery detection via trace removal attack

",2022,Spatial anomaly removal,Spatial anomaly removal,AAF,IEEE
"

 Making DeepFakes more spurious: evading deep face forgery detection via trace removal attack

",2022,Spectral disparity removal,Spectral disparity removal,AAF,IEEE
"

 Making DeepFakes more spurious: evading deep face forgery detection via trace removal attack

",2022,Trace Removal Attack (detector-agnostic),Trace Removal Attack (detector-agnostic),AAF,IEEE
"

 Black-Box Attack against GAN-Generated Image Detector with Contrastive Perturbation

",2022,Black-box attack,Black-Box Adversarial Detector Evasion,AAF,Elsevier
"

 Black-Box Attack against GAN-Generated Image Detector with Contrastive Perturbation

",2022,Contrastive perturbation,Black-Box Adversarial Detector Evasion,AAF,Elsevier
"

 Black-Box Attack against GAN-Generated Image Detector with Contrastive Perturbation

",2022,GAN fingerprint removal,Black-Box Adversarial Detector Evasion,AAF,Elsevier
"

 Attacking Image Splicing Detection and Localization Algorithms Using Synthetic Traces

",2022,Adversarial examples,GAN-Based Synthetic Trace Synthesis,AAF,IEEE
"

 Attacking Image Splicing Detection and Localization Algorithms Using Synthetic Traces

",2022,Adversarial training,GAN-Based Synthetic Trace Synthesis,AAF,IEEE
"

 Attacking Image Splicing Detection and Localization Algorithms Using Synthetic Traces

",2022,Feature map modification,GAN-Based Synthetic Trace Synthesis,AAF,IEEE
"

 Attacking Image Splicing Detection and Localization Algorithms Using Synthetic Traces

",2022,GAN-based anti-forensic attack,GAN-Based Synthetic Trace Synthesis,AAF,IEEE
"

 Attacking Image Splicing Detection and Localization Algorithms Using Synthetic Traces

",2022,Synthetic forensic traces,GAN-Based Synthetic Trace Synthesis,AAF,IEEE
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Anti-forensic dither,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Block-shifted DCT,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Contrast enhancement anti-forensics,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,DCT histogram smoothing,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Deblocking,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Feature value optimization,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Gaussian noise addition,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Generative Adversarial Network (GAN) for contrast enhancement,GAN-Based Contrast-Enhancement Trace Suppression,AAF,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,JPEG anti-forensics,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Median filtering anti-forensics,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Noise addition in pixel domain,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Random dither,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Shrink and Zoom (SAZ),Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Total variation-based deblocking,Data obscurity,TO,springer
"

 Understanding digital image anti‚ forensics: an analytical review

",2024,Unsharp Masking,Data obscurity,TO,springer
"

 A memory-based game-theoretic defensive approach for digital forensic investigators

",2021,AFX2005 Rootkit,Presence of anti-forensics tools/files/installation files,PIA,Elsevier
"

 A memory-based game-theoretic defensive approach for digital forensic investigators

",2021,Fu Rootkit,Presence of anti-forensics tools/files/installation files,PIA,Elsevier
"

 A memory-based game-theoretic defensive approach for digital forensic investigators

",2021,FuTO-Enhanced Rootkit,Presence of anti-forensics tools/files/installation files,PIA,Elsevier
"

 A memory-based game-theoretic defensive approach for digital forensic investigators

",2021,Hxdef084 Rootkit,Presence of anti-forensics tools/files/installation files,DH,Elsevier
"

 A memory-based game-theoretic defensive approach for digital forensic investigators

",2021,Hxdef100 Rootkit,Presence of anti-forensics tools/files/installation files,DH,Elsevier
"

 Exploring Adversarial Fake Images on Face Manifold

",2021,Combined latent and noise adversarial update,GAN-Manifold Adversarial Evasion,AAF,IEEE
"

 Exploring Adversarial Fake Images on Face Manifold

",2021,Ensemble adversarial attacks,GAN-Manifold Adversarial Evasion,AAF,IEEE
"

 Exploring Adversarial Fake Images on Face Manifold

",2021,Latent-space adversarial update,GAN-Manifold Adversarial Evasion,AAF,IEEE
"

 Exploring Adversarial Fake Images on Face Manifold

",2021,Manifold-based adversarial fake image generation,GAN-Manifold Adversarial Evasion,AAF,IEEE
"

 Exploring Adversarial Fake Images on Face Manifold

",2021,Noise-space adversarial update,GAN-Manifold Adversarial Evasion,AAF,IEEE
"

 Memory Forensics: Recovering Chat Messages and Encryption Master Key

",2019,Data encryption,Encryption,DH,IEEE
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,AFTs for JPEG blocking artefacts removal,Data obscurity,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,AFTs for double compression,Data obscurity,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,AFTs for wavelet-based compression,Data obscurity,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,AFTs of JPEG quantisation fingerprints removal,Data obscurity,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,Anti-forensics for chromatic aberrations,Data obscurity,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,Anti-forensics of colour filter array (CFA) pattern,Data obscurity,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,Anti-forensics resampling,Data obscurity,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,Countering camera identification,Data misdirection/misinformation/framing,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,Generative adversarial network based,GAN-Based Forensic Trace Suppression,AAF,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,Hi+D407stogram remapping,Data obscurity,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,Median filtering,Data obscurity,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,Trace hiding,Data obscurity,TO,IET
"

 Bibliography of digital image anti-forensics and anti-anti-forensics techniques

",2019,Unsharp masking,Data obscurity,TO,IET
"

 Camera Trace Erasing

",2020,Camera trace erasing,Data fabrication,TO,IEEE
"

 Improving the Security of Visual Challenges

",2019,Forgery of visual challenges on fake video (copy-paste),Data fabrication,TO,ACM
"

 Improving the Security of Visual Challenges

",2019,Forgery of visual challenges on old still frame,Data fabrication,TO,ACM
"

 Improving the Security of Visual Challenges

",2019,Forgery of visual challenges on sequence of old frames,Data fabrication,TO,ACM
"

 Improving the Security of Visual Challenges

",2019,Replay attack,Data fabrication,TO,ACM
"

 Improving the Security of Visual Challenges

",2019,Timing attack,Forensic software integrity attacks,AT,ACM
"

 Forensic exploration on Windows File History

",2021,Deleting backed up files,File wiping,AW,Elsevier
"

 Forensic exploration on Windows File History

",2021,Disabling and re-enabling of a backup storage device,Hard disk manipulation,DH,Elsevier
"

 Forensic exploration on Windows File History

",2021,Disconnecting an active backup storage device,Hard disk manipulation,DH,Elsevier
